level_0,index,Lyrics,True_end_lyrics,Generated_lyrics
331,368,"So close, no matter how far. Couldn't be much more from the heart. Forever trusting who we are. And nothing else matters. Never opened myself this way. Life is ours, we live it our way. All these words I don't just say. And nothing else matters. Trust I seek and I find in you. Everyday, for us, something new. Open mind for a different view. And nothing else matters. Never cared for what they do. Never cared for what they know. But I know. So close, no matter how far. It couldn't be much more from the heart. Forever trusting who we are. And nothing else matters. Never cared for what they do. Never cared for what they know. But I know. I never opened myself this way. Life is ours, we live it our way. All these words I don't just say. And nothing else matters. Trust I seek and I find in you. Everyday, for us, something new. Open mind for a different view. And nothing else matters. Never cared for what they say. Never cared for games they play. Never cared for what they do. Never cared for what they know. And I know, yeah-yeah! So close,","no matter how far. Couldn't be much more from the heart. Forever trusting who we are. No, nothing else matters.",
56,61,"Sporting his leopard skin thong. Charlie, the methadone man. Plays sunday nights in a rock and roll band. Charlie, the methadone, the methadone man. Patience, the name of the game. Waiting on Doctor Kincaid. Charlie, the methadone man. Fills out the papers just as fast as he can. Charlie, the methadone, the methadone man. When you're all alone. And you've got no where to go. Better take it slow. 'Till you get so tired of where you are. Kicking his lonely lit brain. Drinking to try and stay","sane. Charlie, the methadone man. Chases his tail just as fast as he can. Charlie, the methadone, the methadone man."," awake. The long ride home again. Chill-out time here at dusk. Sleeping through rainstorms for three hours before sunset that should leave everyone sweating with terror. Peter's letters were perfect until tonight? With half an hour left between us... We'll hear from Humpback next week! 5 I'm going back into work soon because Johnie will be getting married this year along… Cindy 9 (28/02) ""...day"". But if there was one thing we really wanted my heart to meet yesterday..that would have been Catherine.""We love our brother!"" …and now Billy…""Amical' is very proud"" they said..."" Don't know how she finds herself by being named her true sweetheart after everything happened but….not 1 pm today 8 6 This comes off even more malicious than usual due naturally ojhyburgon 27 julius Janus Quintanus Gustav Amatico


[Duncsdale College Law Review] quoted March 22nd 2000"
834,925,"Well I've got a secret, I cannot say. Blame modern movement to give it away. You've got something, that I understand. Hold it in tightly, call on command. Leap of faith, do you doubt? Cut you in, I just cut you out. Whatever you do. Don't tell anyone. Whatever you do. Don't tell anyone. Look for reflections in your face. Canine devotion, time can't erase. Out on the corner or locked in your room. I never believe them and I never assume. Stuck in belief, there is a lie. Promise is promise, an eye for an eye. We've got something to reveal. No one can know how we feel. Whatever you do. Don't tell anyone. Whatever you do. Don't tell anyone. Whatever you do. Don't tell anyone. Whatever you do. Don't tell. I think you already know. How far I'd go not to say. You know the art isn't gone. And I'm taking our song to the grave. Whatever you do. Don't",tell anyone. Whatever you do. Don't tell anyone. Whatever you do. Don't tell anyone. Whatever you do. Don't tell anyone., ask me what! There's nothing against friendship with another human being – whoever they are if no… Stay safe Oh love above all else until humanity awakens enough strength (cough).
58,63,"To grow flowers in the dirt. All of my friends are living underground. Put away your wedding ring. Out on highway 63. Let all your worries take their place in line. They love to tear you down, down, down. Living in this sweet soul town. Fall into the sound. A place to hide and room to move. My electric boogaloo. Don't you worry the circus is in town. They love to tear you down, down, down. Living in this sweet soul town. Fall into the sound. They love to tear you down, down, down. Living",in this sweet soul town. Fall into the sound. Fall into the sound. Fall into the sound. Fall into the.," for a few days outside above ground? Any feeling that gets buried under weirder stuff now rises up again overground-wise with an even stronger focus at 5 AM deep black cube white rock frozen carvings there's nothing like watching 8 year old me as I mosey myself through grinded asphalt but hey everything was fun when it began anyway! Plates found floating from 3rd generation mud wagon fall along drain pipes almost uniformly collapse ready date grease fuel buckets by one more angry cart rotted out leaving trails cut…
..."
256,279,Another disease fraternity. Never believe fraternity. Just armies bored in life. I'll never be fraternity. I'll never need that brand of me. Fading the pace behind your eyes. Free to be straight for shape and size. Waiting awake and watch you rise. Go on keep feeding. Swearing by the. Swearing father. Swearing father. I'll never be fraternity. Another disease fraternity. Never believe fraternity. Just armies bored in life. I don't believe fraternities. See the disease fraternities. Wait of the hate behind your eyes. Free to be straight for shape and size. Waiting awake and watch your rise. Go on keep feeding. Swearing by them. Swearing father. Swearing father. I'll never be fraternity. Another disease fraternity. Never believe fraternity. Just armies bored in life. Hand me down. I'll,never be fraternity. Another disease fraternity. Never believe fraternity. Just armies bored in life. Bored in life. Bored in life., always bring it home boys. Now please stop with dancing half asleep children throw myself here using my trunk
164,182,"I should've known that it would end this way. I should've known there was no other way. Didn't hear your warning, damn my heart gone deaf. I should've known, look at the shape you're in. I should've known, but I dove right in. One thing is for certain, as I'm standin' here, I should've known. Lay your hands in mine. Heal me one last time. No, I cannot forgive you yet. No, I cannot forgive you yet. You leave my heart in debt. I should've known, I was inside of you. I should've known there was that side of you. Came without a warning, caught me unaware. I should've known, I've been here before. I should've known, don't want it anymore. One thing is for certain, I'm still standin' here, I should've known. Lay your hands in mine. Feel me one last time. No, I cannot forgive you yet. No, I cannot forgive you yet. You leave my heart in debt. No, I cannot forgive you yet. No, I cannot forgive you yet. You leave my heart in debt, I should have known. Maybe you was right, didn't wanna fight. I should have known. Couldn't read the signs, couldn't see the light. I should have known. No, I cannot forgive you yet. No, I cannot forgive you yet. You leave my heart in debt. No, I cannot forgive you yet. No, I cannot forgive you yet. You leave my heart in debt. No, I","cannot forgive you yet. No, I cannot forgive you yet. You leave us all in debt, I should have known.",
141,156,"If you want to. I'll make you feel something real just to bother you. Now I gotyou. Undermy thumb likea drug, I will smother you. I'llbe the one, be the moon, be the sun. Be theraininyour song, goand put thatrecord on. If you want to. I'll be the one, be the tongue that will swallow you. Shame, shame, shame, shame. Shame, shame, shame, shame. Another splinter under the skin. Another season of loneliness. I found a reason and buried it. Beneath a mountain of emptiness. Oh-oh-oh, oh-oh-oh. Oh-oh, oh-oh. Oh, oh-oh-oh. Oh-oh, oh. Shame, shame, shame, shame. Who, what, where, when (Shame, shame). Just move along, nothing wrong 'til we meet again (Shame, shame). I'll be the end (Shame, shame). I'll be the war at your door, come and let me in (Shame, shame). I'll be the one, be the moon, be the sun (Shame, shame). Be the rain in your song, go and put that record on (Shame, shame). If you want to (Shame, shame). I'll be the one, be the tongue that will swallow you (Shame, shame). Another splinter under the skin. Another season of loneliness. I found a reason and buried it. Beneath a mountain of emptiness. Oh-oh-oh, oh-oh-oh. Oh-oh, oh-oh. Oh, oh-oh-oh. Oh-oh, oh. Shame, shame, shame, shame. Shame, shame, shame, shame. Shame, shame, shame, shame. Shame, shame, shame, shame. Another splinter under the skin. Another season of loneliness. I found a reason and buried it. Beneath","a mountain of emptiness. Oh-oh-oh, oh-oh-oh. Oh-oh, oh-oh. Oh, oh-oh-oh. Oh-oh, oh. Shame, shame, shame, shame. Shame, shame, shame, shame.",
505,555,"Step off the train all alone at dawn. Back into the hole where I was born. The sun in the sky never raised an eye to me. There's blood on the tracks and they must be mine. The fool on the hill and I feel fine. Don't look back 'cause you know what you might see. Look into the wall of my mind's eye. I think I know, but I don't know why. The questions are the answers you might need. Coming in a mess, going out in style. I ain't good looking but I'm someone's child. No one can give me the air that's mine to breathe. I met my maker, I made him cry. And on my shoulder he asked me why. His people won't fly through the storm. I said ""Listen up man, they don't even know you're born"". All my people right here, right now. D'you know what I mean? (yeah, yeah). All my people right here, right now. D'you know what I mean? (yeah, yeah). All my people right here, right now. D'you know what I mean? (yeah, yeah). Yeah, yeah, yeah, yeah. I don't really care for what you believe. So open up your fist or you won't receive. The thoughts and the words of every man you'll need. So get up off the floor and believe in life. No-ones ever gonna ever ask you twice. Get on the bus and bring it on home to me. I met my maker I made him cry (yes you did). And on my shoulder he asked me why. His people won't fly through the storm. I said ""Listen up man, they don't even know you're born"". All my people right here, right now. They know what I mean (yeah, yeah). All my people right here, right now. They know what I mean (yeah, yeah). All my people right here, right now. They know what I mean (yeah, yeah). Yeah, yeah, yeah, yeah. All my people right here, right now. D'you know what I mean? (yeah, yeah). All my people right here, right now. D'you know what I mean? (yeah, yeah). All my","people right here, right now. D'you know what I mean? (yeah, yeah). Yeah, yeah, yeah, yeah. Yeah, yeah, yeah, yeah.",
534,589,Just when it falls apart. And when it's time to start. Will you sit down here for another day? And when it's time to be. All the things that we. Are wishing away for another day. 'Cause me and my soul we know where we're going. We're going where the grass is free. And the air is clean and the good times are growing. So take me away. Just for today. 'Cause I'm sat here on my own. I'd like to be. Under the sea. But I probably need a phone. And just when it falls apart. Just when it's time to start. Will you sit down here for another day? 'Cause me and my soul we know where we're going. We're going where the grass is free. And the air is clean and the good times are growing. So take me away. Just for today. 'Cause I'm sat here on my own. I'd like to be. Under the sea. But I probably need a phone. I could be you. If I wanted to. But I've never got the time. You could be me. And,pretty soon you will be. But you're gonna need a line. Need a line. Need a line. Need a line.," in front of there don't feel no shame or remorse from people want love... Love your body' as if this was ever about control but actually what they needed at any moment. That he felt compelled by his situation... They all find themselves though with needing help, offered legal assistance - none said one had sought real medical care upon arrival while others called several houses seeking psychiatric services across New Jersey alone.... Day 1: On Friday morning each night an armed party began throwing rocks through windows inside Max Avenue apartment building located off Seminary Road NE sometime around 10pm…. The first attempts were made into Shasta Community College campus during late hours ….."
650,716,"The selfish, they're all standing in line. Faithin' and hopin' to buy themselves time. Me, I figure, as each breath goes by. I only own my mind. North is to south what the clock is to time. There's east and there's west and there's everywhere life. I know I was born and I know that I'll die. The in-between is mine. I am mine. And the feeling, it gets left behind. All the innocents lost at one time. Significant behind the eyes. There's no need to hide. We're safe tonight. The ocean is full 'cause everyone's cryin'. The full moon is lookin' for friends at high tide. The sorrow grows bigger when the sorrow's denied. I only know my mind. I am mine. And the meaning that gets left behind. All the innocents lost at one time. Significant, behind the eyes. There's no need to hide. We're safe tonight. Whoo! And the feelings that get left behind. All the innocents broken with lies. Significance between the lines. We may need to hide. And the meanings that get left","behind. All the innocents lost at one time. We're all different behind the eyes. There's no need to hide, yeah."," of ours can fade away too easily if we've made them stand out so much.. As long an opponent lives on this side. Because here a man speaks truth & put his word beyond danger now everything will be worth fighting for which he had nothing.""
It does not happen overnight -- people have been doing things like that ever since then-- well over twenty years after India separated from Britain until 1948 (sometimes though repeated often off camera)- but sometimes...once committed becomes accepted part  of every respectional or even royal family history --- such offenders are kept busy driving trains till late afternoon ten minutes before sundown breaking steam rooms..."
147,165,"This indecision got me climbin' up the wall. Been cheatin' gravity and waitin' on the fall. How did this come over me? I thought I was above it all. Our hope's gone up in smoke, swallow your crown. Choke! On our kiss. Thought I'd save my breath for you. Choke! On our kiss. Thought I'd save my breath for you. Gimme some rope, I'm comin' loose. I'm hangin' on you. Gimme some rope, I'm comin' loose. I'm pullin' for you now. Give me some rope, I'm comin'. Outta my head, into the clear. When you go, I come loose. These premonitions got me cryin' up a storm. Leave your condition, this position does no harm. Choke! On our kiss. Thought I'd save my breath for you. Choke! On our kiss. Thought I'd save my breath for you. Gimme some rope, I'm comin' loose. I'm hangin' on you. Gimme some rope, I'm comin' loose. I'm pullin' for you now. Give me some rope, I'm comin'. Outta my head, into the clear. When you go, I come loose. Gimme some rope, I'm comin' loose. I'm hangin' on you. Gimme some rope, I'm comin' loose. I'm pullin' for you now. Gimme some hope, I'm comin' through. I'm","counting on you. Gimme some rope, I'm comin'. Outta my head, into the clear. When you go, I come. Loose."," wrigglin', outta here; we'll make 'em lose their rattle."
458,506,"Come as you are, as you were. As I want you to be. As a friend, as a friend. As an old enemy. Take your time, hurry up. Choice is yours, don't be late. Take a rest as a friend. As an old memoria. Memoria. Memoria. Memoria. Come doused in mud, soaked in bleach. As I want you to be. As a trend, as a friend. As an old memoria. Memoria. Memoria. Memoria. And I swear that I don't have a gun. No, I don't have a gun. No, I don't have a gun. Memoria. Memoria. Memoria. Memoria (No, I don't have a gun). And I swear that I don't have a gun. No, I don't have a gun.","No, I don't have a gun. No, I don't have a gun. No, I don't have a gun. Memoria. Memoria.", No...no it's not right now- It is wrong - Okay? The ball falls into the water! You hear them squealing and leaping over each other like children playing hide and seek..
126,141,"From the moment I arise. Feel good from morning. Till the end of the day. Till the end of the day. Yeah, you and me. We live this life. From when we get up. Tillwegosleep at night. Youand me werefree. We do as we please, yeah. From morning, till the end of the day. Till the end of the day. Yeah, I get up. And I see the sun up. And I feel good, yeah. 'Cause my life has begun. You and me were free. W do as we please, yah. From morning, till the end of the day. Till the end of the day. You and me were free. We do as we please, yeah. From morning, till the end of the day. Till the end of the day. Till the end of",the day. Till the end of the day. Till the end of the day. Till the end of the day., m' sleep and done with it.' Then says: With love thy sweetest melodies (looks down)You shall always be dear to usAnd on your accordWe can dance forever in pleasureAll happy relationships are frozen thaiWhat would he think if somebody wrote an opera about their relationship?If two lovers write songs together like Bob Marley's Talking In a Lonely Way so that they could play outtheir long-lost sorrow for many years?[Music begins]Hey guys! Come over here okay???????????? come around let them sing some tunes one byone who deserves...(singing noises untilfans arrive)...[[tearing doors open]]ThankyousuHow much have you heard anymore?! Well....there seemsto only beenincompetence lately though......
668,734,"But you don't know where from she was thrown. Like a burning meteor from miles high. Looking for a place to land. She said, ""Have you got yourself some sand?"". And whatever you replied, she took as yes. Now she comes after thee. With her newly planted seeds and soon. You're prone down on your knees and there you dig. And then before you know. The weeds are obesely overgrown. With all the wild seed she sows in your sleep. You gotta know you'll never let her go. She's a lightning bolt. Lightning bolt. Lightning bolt. Always something and never nothing. Isn't that the way we're taught to be? To be. Flipping through the worn out pages. And stages when you knew not who to be, yeah yeah. Till the lightning strike sets you free, yeah. You gotta know you'll never let her go. She's a lightning bolt. Lightning bolt. Lightning bolt. Crashing stormy waves erode her. Shoreline everyday until the. Castle of her ways turns to sand. She holds her lovely breast. As her birds fall from the nest. Flying towards the great northwest, yeah yeah yeah. And with no repair in sight. There is no God with such might. As to open her world wide with subterfuge. And your death will soon arrive. As she finally decides. That all her problems, they won't die with you. Hey yeah. Hey",yeah. Hey yeah. I'm a lightning bolt. She's a lightning bolt. She's true. She's a lightning bolt. Uncontrollable. Like you.," hey! Thanks so much!!!!

RAW Paste Data

 - «xul"" oh yessss..."
783,864,"When you say it's dead and gone. Yes I know, you're wrong. Cut and slash, sharpest knife. It won't die, yeah. Poison cup, drank it up. It won't die. No fire, no gun, no rope, no stone. It won't die, yeah. Why you gotta shove it in my face? As if you put me in my place. 'Cause I don't care if you or me is wrong or right. Not goin' to spend another night. In your bed, in your bed. Laws of men are just pretend. They ain't mine. Love, so good, love so bad. It won't die. Some talk too long, they know it all. Well, I just smile and move on. Words ain't free like you and me. I don't mind, yeah. Why'd you have to be so mean and cruel? The dogs are loose, I'm on to you. You ball and chained together from the dawn to dusk. Can't call it leaving 'cause",it's just. I never came. I never came. I never came. I never came. I never came. I never came., other people was afraid back then there were monsters every day! Oh uh-oh dear god what a strange world this one has taken over here as we speak. Hurry -- get out... His eyes started getting redder still when he felt his stomach churn with eating blood that had forgotten where else but now instead of going into sickles by adding acid doses two things happened at once: A slow pickle made sure somehow inside him eventually crossed across those willy teeth pieces after piece until finally releasing.
69,74,"I was not phased, I did not care. You, you turned and walked away. As if I was not even there. I don't know, you don't know. We don't know why.... I tell myself these little white lies. These little white lies. Like I don't miss you. I tell myself these little white lies. These little white lies. And I just walk around. With my eyes closed. With my eyes closed. With my eyes closed. I don't miss you all that much. Don't miss your kiss, don't miss your touch. I'm so happy to be free. I don't need you, you don't need me. If you don't care, then I don't care. Please tell me why.... I tell myself these little white lies. These little white lies. Like I don't miss you. I tell myself these little white lies. These little white lies. And I just walk around. With my eyes closed. With my eyes closed. With my eyes closed. With my eyes closed. I tell myself these little white lies. These little white lies. Like I don't miss you. I tell myself these little white lies. These little white lies. Like I don't love you. I tell myself these little white lies. These little white lies. Like I don't miss you. I tell myself these little white lies. These little white lies. And I just walk around. With my eyes closed. With my eyes closed. With my eyes closed.",With my eyes closed. With my eyes closed. With my eyes closed. With my eyes closed. With my eyes closed., Who am they? They're like night birds returning to their nest in the jungle. The tiny tips of each feather have embedded themselves into walls where coyotes would never expect them...
774,855,"Young, dumb, don't see a problem. Bloodshot, stare like a hoodlum. Simple as this I'm in love with the risk. I know what I've done. But tell me what did I miss. So please don't save something. Waste not, save nothing. Lose the halo, don't need to resist. A lick of the lips and a grip on your hips. Sick, sick, sick. Don't resist. Sick, sick, sick. Don't resist. First thing we succumb to. Shall erase and undo days of unrelease. If there's no police. Race to slip into whatever fits you. Make something, make someone. Beg on a knee, baby, baby please. Pout your bottom lip, while cracking the whip. You know what we want is candy to cum to. Sick, sick, sick. Don't resist. Sick, sick, sick. Don't resist. Sick, sick, sick. Don't resist. Sick, sick, sick. Don't resist. Eternal eclipse in the teeth of the risk. The tongue is a twist in perpetual bliss. Forever midnight. Forever midnight. Forever midnight. Forever. Sick, sick, sick. Don't resist. Sick, sick, sick. Don't resist. Sick, sick, sick (I'm gonna take). Don't resist (I don't wanna choose). Sick, sick, sick (I'm gonna take). Don't resist (I don't wanna choose). Baby, baby come out. C-c-c-c-come out. Baby, baby come out. C-c-c-c-come out. Sick, sick, sick (I'm gonna take). Don't resist (I don't wanna choose). Sick, sick, sick (I'm gonna take). Don't resist (I don't wanna choose). Sick, sick, sick (I'm","gonna take). Don't resist (I don't wanna choose). Sick, sick, sick (I'm gonna take). Don't resist (I don't wanna choose).",
590,653,"You're never gonna get along, hanging out, thinkin' out loud. You're never gonna get it on and be someone stuck in that crowd. So you call out for feelings you hope that don't never exist. But don't be ashamed of your bones and your blisters. So come on, come on my brothers and sisters. 'Cos you can only be what you are and you've got. The heart of a star but the light never hits ya'. And I said come on, come on my brothers and sisters. If you could see what I could see, maybe we could all get along. And maybe I can justify the bad things in life that I've done. So I call out the feelings I know that don't never exist. I won't be ashamed of my bones and my blisters. So come on, come on my brothers and sisters. 'Cos you can only be what you are 'cos you've got. The heart of a star but the light never hits ya. And I said come on, come on my brothers and sisters. And the slower that you go, the greener the grass grows. And what we all need is love in our lives. So go 'bout your business 'cos life ain't your mistress. Come on, come on my brothers and sisters. 'Cos you can only be what you are 'cos you've got. The heart of a star but the light never hits ya'. So be all you can and just hold up your hands. Someday you'll understand why life never kissed you. And I said come on, come on my brothers and sisters. Come on, come on my brothers and sisters. I said come on, come on my brothers and sisters.","I said come on, come on my brothers and sisters. I said come on, come on my brothers and sisters."," He's this really cool dude so listen to him already he says no more drugs, period- yo shit."
