level_0,index,Lyrics,True_end_lyrics,Generated_lyrics
331,368,"So close, no matter how far. Couldn't be much more from the heart. Forever trusting who we are. And nothing else matters. Never opened myself this way. Life is ours, we live it our way. All these words I don't just say. And nothing else matters. Trust I seek and I find in you. Everyday, for us, something new. Open mind for a different view. And nothing else matters. Never cared for what they do. Never cared for what they know. But I know. So close, no matter how far. It couldn't be much more from the heart. Forever trusting who we are. And nothing else matters. Never cared for what they do. Never cared for what they know. But I know. I never opened myself this way. Life is ours, we live it our way. All these words I don't just say. And nothing else matters. Trust I seek and I find in you. Everyday, for us, something new. Open mind for a different view. And nothing else matters. Never cared for what they say. Never cared for games they play. Never cared for what they do. Never cared for what they know. And I know, yeah-yeah! So close,","no matter how far. Couldn't be much more from the heart. Forever trusting who we are. No, nothing else matters.", no matter how far.
56,61,"Sporting his leopard skin thong. Charlie, the methadone man. Plays sunday nights in a rock and roll band. Charlie, the methadone, the methadone man. Patience, the name of the game. Waiting on Doctor Kincaid. Charlie, the methadone man. Fills out the papers just as fast as he can. Charlie, the methadone, the methadone man. When you're all alone. And you've got no where to go. Better take it slow. 'Till you get so tired of where you are. Kicking his lonely lit brain. Drinking to try and stay","sane. Charlie, the methadone man. Chases his tail just as fast as he can. Charlie, the methadone, the methadone man.", awake. Even when the tide comes in.
834,925,"Well I've got a secret, I cannot say. Blame modern movement to give it away. You've got something, that I understand. Hold it in tightly, call on command. Leap of faith, do you doubt? Cut you in, I just cut you out. Whatever you do. Don't tell anyone. Whatever you do. Don't tell anyone. Look for reflections in your face. Canine devotion, time can't erase. Out on the corner or locked in your room. I never believe them and I never assume. Stuck in belief, there is a lie. Promise is promise, an eye for an eye. We've got something to reveal. No one can know how we feel. Whatever you do. Don't tell anyone. Whatever you do. Don't tell anyone. Whatever you do. Don't tell anyone. Whatever you do. Don't tell. I think you already know. How far I'd go not to say. You know the art isn't gone. And I'm taking our song to the grave. Whatever you do. Don't",tell anyone. Whatever you do. Don't tell anyone. Whatever you do. Don't tell anyone. Whatever you do. Don't tell anyone.," tell anyone. Whatever you do. Don't tell anyone.

Cut you in, I just cut you out.

I found a gold"
58,63,"To grow flowers in the dirt. All of my friends are living underground. Put away your wedding ring. Out on highway 63. Let all your worries take their place in line. They love to tear you down, down, down. Living in this sweet soul town. Fall into the sound. A place to hide and room to move. My electric boogaloo. Don't you worry the circus is in town. They love to tear you down, down, down. Living in this sweet soul town. Fall into the sound. They love to tear you down, down, down. Living",in this sweet soul town. Fall into the sound. Fall into the sound. Fall into the sound. Fall into the., in this sweet soul town.
256,279,Another disease fraternity. Never believe fraternity. Just armies bored in life. I'll never be fraternity. I'll never need that brand of me. Fading the pace behind your eyes. Free to be straight for shape and size. Waiting awake and watch you rise. Go on keep feeding. Swearing by the. Swearing father. Swearing father. I'll never be fraternity. Another disease fraternity. Never believe fraternity. Just armies bored in life. I don't believe fraternities. See the disease fraternities. Wait of the hate behind your eyes. Free to be straight for shape and size. Waiting awake and watch your rise. Go on keep feeding. Swearing by them. Swearing father. Swearing father. I'll never be fraternity. Another disease fraternity. Never believe fraternity. Just armies bored in life. Hand me down. I'll,never be fraternity. Another disease fraternity. Never believe fraternity. Just armies bored in life. Bored in life. Bored in life., never be fraternities.
164,182,"I should've known that it would end this way. I should've known there was no other way. Didn't hear your warning, damn my heart gone deaf. I should've known, look at the shape you're in. I should've known, but I dove right in. One thing is for certain, as I'm standin' here, I should've known. Lay your hands in mine. Heal me one last time. No, I cannot forgive you yet. No, I cannot forgive you yet. You leave my heart in debt. I should've known, I was inside of you. I should've known there was that side of you. Came without a warning, caught me unaware. I should've known, I've been here before. I should've known, don't want it anymore. One thing is for certain, I'm still standin' here, I should've known. Lay your hands in mine. Feel me one last time. No, I cannot forgive you yet. No, I cannot forgive you yet. You leave my heart in debt. No, I cannot forgive you yet. No, I cannot forgive you yet. You leave my heart in debt, I should have known. Maybe you was right, didn't wanna fight. I should have known. Couldn't read the signs, couldn't see the light. I should have known. No, I cannot forgive you yet. No, I cannot forgive you yet. You leave my heart in debt. No, I cannot forgive you yet. No, I cannot forgive you yet. You leave my heart in debt. No, I","cannot forgive you yet. No, I cannot forgive you yet. You leave us all in debt, I should have known."," cannot forgive you yet. No, I cannot forgive you yet."
141,156,"If you want to. I'll make you feel something real just to bother you. Now I gotyou. Undermy thumb likea drug, I will smother you. I'llbe the one, be the moon, be the sun. Be theraininyour song, goand put thatrecord on. If you want to. I'll be the one, be the tongue that will swallow you. Shame, shame, shame, shame. Shame, shame, shame, shame. Another splinter under the skin. Another season of loneliness. I found a reason and buried it. Beneath a mountain of emptiness. Oh-oh-oh, oh-oh-oh. Oh-oh, oh-oh. Oh, oh-oh-oh. Oh-oh, oh. Shame, shame, shame, shame. Who, what, where, when (Shame, shame). Just move along, nothing wrong 'til we meet again (Shame, shame). I'll be the end (Shame, shame). I'll be the war at your door, come and let me in (Shame, shame). I'll be the one, be the moon, be the sun (Shame, shame). Be the rain in your song, go and put that record on (Shame, shame). If you want to (Shame, shame). I'll be the one, be the tongue that will swallow you (Shame, shame). Another splinter under the skin. Another season of loneliness. I found a reason and buried it. Beneath a mountain of emptiness. Oh-oh-oh, oh-oh-oh. Oh-oh, oh-oh. Oh, oh-oh-oh. Oh-oh, oh. Shame, shame, shame, shame. Shame, shame, shame, shame. Shame, shame, shame, shame. Shame, shame, shame, shame. Another splinter under the skin. Another season of loneliness. I found a reason and buried it. Beneath","a mountain of emptiness. Oh-oh-oh, oh-oh-oh. Oh-oh, oh-oh. Oh, oh-oh-oh. Oh-oh, oh. Shame, shame, shame, shame. Shame, shame, shame, shame."," a mountain of emptiness. Oh-oh-oh, oh-oh-oh."
505,555,"Step off the train all alone at dawn. Back into the hole where I was born. The sun in the sky never raised an eye to me. There's blood on the tracks and they must be mine. The fool on the hill and I feel fine. Don't look back 'cause you know what you might see. Look into the wall of my mind's eye. I think I know, but I don't know why. The questions are the answers you might need. Coming in a mess, going out in style. I ain't good looking but I'm someone's child. No one can give me the air that's mine to breathe. I met my maker, I made him cry. And on my shoulder he asked me why. His people won't fly through the storm. I said ""Listen up man, they don't even know you're born"". All my people right here, right now. D'you know what I mean? (yeah, yeah). All my people right here, right now. D'you know what I mean? (yeah, yeah). All my people right here, right now. D'you know what I mean? (yeah, yeah). Yeah, yeah, yeah, yeah. I don't really care for what you believe. So open up your fist or you won't receive. The thoughts and the words of every man you'll need. So get up off the floor and believe in life. No-ones ever gonna ever ask you twice. Get on the bus and bring it on home to me. I met my maker I made him cry (yes you did). And on my shoulder he asked me why. His people won't fly through the storm. I said ""Listen up man, they don't even know you're born"". All my people right here, right now. They know what I mean (yeah, yeah). All my people right here, right now. They know what I mean (yeah, yeah). All my people right here, right now. They know what I mean (yeah, yeah). Yeah, yeah, yeah, yeah. All my people right here, right now. D'you know what I mean? (yeah, yeah). All my people right here, right now. D'you know what I mean? (yeah, yeah). All my","people right here, right now. D'you know what I mean? (yeah, yeah). Yeah, yeah, yeah, yeah. Yeah, yeah, yeah, yeah."," people right here, right now. They know what I mean (yeah, yeah). All my people right here, right now. D'you know"
534,589,Just when it falls apart. And when it's time to start. Will you sit down here for another day? And when it's time to be. All the things that we. Are wishing away for another day. 'Cause me and my soul we know where we're going. We're going where the grass is free. And the air is clean and the good times are growing. So take me away. Just for today. 'Cause I'm sat here on my own. I'd like to be. Under the sea. But I probably need a phone. And just when it falls apart. Just when it's time to start. Will you sit down here for another day? 'Cause me and my soul we know where we're going. We're going where the grass is free. And the air is clean and the good times are growing. So take me away. Just for today. 'Cause I'm sat here on my own. I'd like to be. Under the sea. But I probably need a phone. I could be you. If I wanted to. But I've never got the time. You could be me. And,pretty soon you will be. But you're gonna need a line. Need a line. Need a line. Need a line., I'd like to be. Under the sea. But I'm sitting here in my room. And all I've got is you. But I'll
650,716,"The selfish, they're all standing in line. Faithin' and hopin' to buy themselves time. Me, I figure, as each breath goes by. I only own my mind. North is to south what the clock is to time. There's east and there's west and there's everywhere life. I know I was born and I know that I'll die. The in-between is mine. I am mine. And the feeling, it gets left behind. All the innocents lost at one time. Significant behind the eyes. There's no need to hide. We're safe tonight. The ocean is full 'cause everyone's cryin'. The full moon is lookin' for friends at high tide. The sorrow grows bigger when the sorrow's denied. I only know my mind. I am mine. And the meaning that gets left behind. All the innocents lost at one time. Significant, behind the eyes. There's no need to hide. We're safe tonight. Whoo! And the feelings that get left behind. All the innocents broken with lies. Significance between the lines. We may need to hide. And the meanings that get left","behind. All the innocents lost at one time. We're all different behind the eyes. There's no need to hide, yeah."," behind. All the innocents lost at one time. Significant, behind the eyes. There's no need to hide. We're safe tonight."
147,165,"This indecision got me climbin' up the wall. Been cheatin' gravity and waitin' on the fall. How did this come over me? I thought I was above it all. Our hope's gone up in smoke, swallow your crown. Choke! On our kiss. Thought I'd save my breath for you. Choke! On our kiss. Thought I'd save my breath for you. Gimme some rope, I'm comin' loose. I'm hangin' on you. Gimme some rope, I'm comin' loose. I'm pullin' for you now. Give me some rope, I'm comin'. Outta my head, into the clear. When you go, I come loose. These premonitions got me cryin' up a storm. Leave your condition, this position does no harm. Choke! On our kiss. Thought I'd save my breath for you. Choke! On our kiss. Thought I'd save my breath for you. Gimme some rope, I'm comin' loose. I'm hangin' on you. Gimme some rope, I'm comin' loose. I'm pullin' for you now. Give me some rope, I'm comin'. Outta my head, into the clear. When you go, I come loose. Gimme some rope, I'm comin' loose. I'm hangin' on you. Gimme some rope, I'm comin' loose. I'm pullin' for you now. Gimme some hope, I'm comin' through. I'm","counting on you. Gimme some rope, I'm comin'. Outta my head, into the clear. When you go, I come. Loose.", lettin' loose the chains. I'm free now.
458,506,"Come as you are, as you were. As I want you to be. As a friend, as a friend. As an old enemy. Take your time, hurry up. Choice is yours, don't be late. Take a rest as a friend. As an old memoria. Memoria. Memoria. Memoria. Come doused in mud, soaked in bleach. As I want you to be. As a trend, as a friend. As an old memoria. Memoria. Memoria. Memoria. And I swear that I don't have a gun. No, I don't have a gun. No, I don't have a gun. Memoria. Memoria. Memoria. Memoria (No, I don't have a gun). And I swear that I don't have a gun. No, I don't have a gun.","No, I don't have a gun. No, I don't have a gun. No, I don't have a gun. Memoria. Memoria.", Memoria. Memoria. Memoria.
126,141,"From the moment I arise. Feel good from morning. Till the end of the day. Till the end of the day. Yeah, you and me. We live this life. From when we get up. Tillwegosleep at night. Youand me werefree. We do as we please, yeah. From morning, till the end of the day. Till the end of the day. Yeah, I get up. And I see the sun up. And I feel good, yeah. 'Cause my life has begun. You and me were free. W do as we please, yah. From morning, till the end of the day. Till the end of the day. You and me were free. We do as we please, yeah. From morning, till the end of the day. Till the end of the day. Till the end of",the day. Till the end of the day. Till the end of the day. Till the end of the day., the day.
668,734,"But you don't know where from she was thrown. Like a burning meteor from miles high. Looking for a place to land. She said, ""Have you got yourself some sand?"". And whatever you replied, she took as yes. Now she comes after thee. With her newly planted seeds and soon. You're prone down on your knees and there you dig. And then before you know. The weeds are obesely overgrown. With all the wild seed she sows in your sleep. You gotta know you'll never let her go. She's a lightning bolt. Lightning bolt. Lightning bolt. Always something and never nothing. Isn't that the way we're taught to be? To be. Flipping through the worn out pages. And stages when you knew not who to be, yeah yeah. Till the lightning strike sets you free, yeah. You gotta know you'll never let her go. She's a lightning bolt. Lightning bolt. Lightning bolt. Crashing stormy waves erode her. Shoreline everyday until the. Castle of her ways turns to sand. She holds her lovely breast. As her birds fall from the nest. Flying towards the great northwest, yeah yeah yeah. And with no repair in sight. There is no God with such might. As to open her world wide with subterfuge. And your death will soon arrive. As she finally decides. That all her problems, they won't die with you. Hey yeah. Hey",yeah. Hey yeah. I'm a lightning bolt. She's a lightning bolt. She's true. She's a lightning bolt. Uncontrollable. Like you., yeah. Say that again. You wanna be. Hey yeah. They've said they'll never let her go. Hey yeah. Say that again.
783,864,"When you say it's dead and gone. Yes I know, you're wrong. Cut and slash, sharpest knife. It won't die, yeah. Poison cup, drank it up. It won't die. No fire, no gun, no rope, no stone. It won't die, yeah. Why you gotta shove it in my face? As if you put me in my place. 'Cause I don't care if you or me is wrong or right. Not goin' to spend another night. In your bed, in your bed. Laws of men are just pretend. They ain't mine. Love, so good, love so bad. It won't die. Some talk too long, they know it all. Well, I just smile and move on. Words ain't free like you and me. I don't mind, yeah. Why'd you have to be so mean and cruel? The dogs are loose, I'm on to you. You ball and chained together from the dawn to dusk. Can't call it leaving 'cause",it's just. I never came. I never came. I never came. I never came. I never came. I never came.," I got no better place to run. I love the dark. I've been a slave to the light for years. Now I'm free, free"
69,74,"I was not phased, I did not care. You, you turned and walked away. As if I was not even there. I don't know, you don't know. We don't know why.... I tell myself these little white lies. These little white lies. Like I don't miss you. I tell myself these little white lies. These little white lies. And I just walk around. With my eyes closed. With my eyes closed. With my eyes closed. I don't miss you all that much. Don't miss your kiss, don't miss your touch. I'm so happy to be free. I don't need you, you don't need me. If you don't care, then I don't care. Please tell me why.... I tell myself these little white lies. These little white lies. Like I don't miss you. I tell myself these little white lies. These little white lies. And I just walk around. With my eyes closed. With my eyes closed. With my eyes closed. With my eyes closed. I tell myself these little white lies. These little white lies. Like I don't miss you. I tell myself these little white lies. These little white lies. Like I don't love you. I tell myself these little white lies. These little white lies. Like I don't miss you. I tell myself these little white lies. These little white lies. And I just walk around. With my eyes closed. With my eyes closed. With my eyes closed.",With my eyes closed. With my eyes closed. With my eyes closed. With my eyes closed. With my eyes closed., I don't miss you. I don't miss you. I don't miss you. I don't miss you. I don't miss you.
774,855,"Young, dumb, don't see a problem. Bloodshot, stare like a hoodlum. Simple as this I'm in love with the risk. I know what I've done. But tell me what did I miss. So please don't save something. Waste not, save nothing. Lose the halo, don't need to resist. A lick of the lips and a grip on your hips. Sick, sick, sick. Don't resist. Sick, sick, sick. Don't resist. First thing we succumb to. Shall erase and undo days of unrelease. If there's no police. Race to slip into whatever fits you. Make something, make someone. Beg on a knee, baby, baby please. Pout your bottom lip, while cracking the whip. You know what we want is candy to cum to. Sick, sick, sick. Don't resist. Sick, sick, sick. Don't resist. Sick, sick, sick. Don't resist. Sick, sick, sick. Don't resist. Eternal eclipse in the teeth of the risk. The tongue is a twist in perpetual bliss. Forever midnight. Forever midnight. Forever midnight. Forever. Sick, sick, sick. Don't resist. Sick, sick, sick. Don't resist. Sick, sick, sick (I'm gonna take). Don't resist (I don't wanna choose). Sick, sick, sick (I'm gonna take). Don't resist (I don't wanna choose). Baby, baby come out. C-c-c-c-come out. Baby, baby come out. C-c-c-c-come out. Sick, sick, sick (I'm gonna take). Don't resist (I don't wanna choose). Sick, sick, sick (I'm gonna take). Don't resist (I don't wanna choose). Sick, sick, sick (I'm","gonna take). Don't resist (I don't wanna choose). Sick, sick, sick (I'm gonna take). Don't resist (I don't wanna choose)."," gonna take).

RAW Paste Data

(Start of Intro) 'Cause you're the best. (End of Intro) Think about me"
590,653,"You're never gonna get along, hanging out, thinkin' out loud. You're never gonna get it on and be someone stuck in that crowd. So you call out for feelings you hope that don't never exist. But don't be ashamed of your bones and your blisters. So come on, come on my brothers and sisters. 'Cos you can only be what you are and you've got. The heart of a star but the light never hits ya'. And I said come on, come on my brothers and sisters. If you could see what I could see, maybe we could all get along. And maybe I can justify the bad things in life that I've done. So I call out the feelings I know that don't never exist. I won't be ashamed of my bones and my blisters. So come on, come on my brothers and sisters. 'Cos you can only be what you are 'cos you've got. The heart of a star but the light never hits ya. And I said come on, come on my brothers and sisters. And the slower that you go, the greener the grass grows. And what we all need is love in our lives. So go 'bout your business 'cos life ain't your mistress. Come on, come on my brothers and sisters. 'Cos you can only be what you are 'cos you've got. The heart of a star but the light never hits ya'. So be all you can and just hold up your hands. Someday you'll understand why life never kissed you. And I said come on, come on my brothers and sisters. Come on, come on my brothers and sisters. I said come on, come on my brothers and sisters.","I said come on, come on my brothers and sisters. I said come on, come on my brothers and sisters.",
421,465,"Suck on this. Look out at the darkness. And you will see. Just call my name and I'll be there. You cannot touch me. You would not dare. I am the chill that's in the air. And I try to get through to you. In my own special way. As the barriers crumble. At the end of the day, haha. Dark rivers are flowing. Back into the past. You are the fish for which I cast. And what of the future? What is to be? As the rivers flow into the sea. And I try to get through to you. In my own special way. As the barriers crumble. At the end of the day. Do not take for granted. Powers out there. Don't step into the demon's lair. Time is an illusion. Rising from time. Steep is the mountain which we climb. And I try",to get through to you. In my own special way. As the barriers crumble. At the end of the day., to get through to you. In my own special way.
159,177,"I'm hanging on. Here until I'm gone. Right where I belong. Just hanging on. Even though. I watched you come and go. How was I to know. You'd steal the show? One day. I'll have enough to gamble. I'll wait to hear your final call. And bet it all. I'm hanging on. Here until I'm gone. Right where I belong. Just hanging on. Even though. I pass this time alone. Somewhere so unknown. It heals the soul. You ask for walls, I'll build them higher. We'll lie in the shadows of them all. I'd stand but they're much too tall. And I fall. February stars. Floating in the dark. Temporary scars. February stars.",February stars. Floating in the dark. Temporary scars. February stars. February stars. Floating in the dark. Temporary scars. February stars.," Floating in the dark. Temporary scars. I smile at them, sometimes I get so sick of them."
591,654,They got nothing on me anymore. They got nothing on you. I don't care what they say anymore. All I want is the truth. Out on bail. To unveil. Here's a song. Sing along. They got nothing for me anymore. I got nothing for you. I don't care what they say anymore. All I want is the truth. Out on bail. To unveil. Here's a song. Sing along. Watch my style. Pick a place. Wipe the smile. From your face. Out on bail. To unveil. Here's a song. Sing along. Watch my style. Pick a place. Wipe the smile. From your face. They got nothing on,"me anymore, they got nothing on you. I don't care what they say anymore, all I want is the truth."," me anymore. I got nothing for you.

AB: [drummer] She'll be on my side of the tracks. She'll"
222,244,"Early morning without warning. Woke me with a scare. I had that dream again. That the sun was dead. Make me warm or take me home. It's so cold in here. Can't we meet somewhere. Is it winter there? Is it winter there? This winter. Meet me in the summertime. We can move the air. Sweet Virginia countryside. I will meet you there. Bloody lips and cherry wine. Moonshine in your hair. Just keep staring at the sun. Pray for summer's end. Come on over brave my storm. Oceans overhead. Come inside, my friend. Getting bad out there. Every moment we have stolen. All we have to share. No one wanted them. But you know I did. You know I did. This moment. Meet me in the summertime. We can move the air. Sweet Virginia countryside. I will meet you there. Bloody lips and cherry wine. Moonshine in your hair. Just keep staring at the sun. Pray for summer's end. Meet me in the summertime. We can move the air. Sweet Virginia countryside. I will meet you there. Bloody lips and cherry wine. Moonshine in your hair. Just keep staring at the sun. Pray for summer's end. Meet me in the summertime. Meet me in the summertime.",Meet me in the summertime. We can move the air. Meet me in the summertime. I will meet you there.,
869,964,"Oh, you wired me awake. And hit me with a hand of broken nails. Yeah, you tied my lead and pulled my chain. To watch my blood begin to boil. But I'm gonna break. I'm gonna break my. I'm gonna break my rusty cage and run. Yeah, I'm gonna break. I'm gonna break my. I'm gonna break my rusty cage. And run. Too cold to start a fire. I'm burning diesel, burning dinosaur bones. Yeah, I'll take the river down to Stillwater. And ride a pack of dogs. But I'm gonna break. I'm gonna break my. I'm gonna break my rusty cage and run. Yeah, I'm gonna break. I'm gonna break my. I'm gonna break my rusty cage. And run. Hit like a Phillips head into my brain. It's gonna be too dark to sleep again. Cutting my teeth on bars and rusty chains. I'm gonna break my rusty cage. And run. When the forest burns along the road. Like God's eyes in my headlights. And when the dogs are looking for their bones. And it's raining icepicks on your steel shore. Well, I'm gonna break. I'm gonna break my. I'm gonna break my","rusty cage. And run. Well, I'm gonna break. I'm gonna break my. I'm gonna break my rusty cage. And run.", rusty cage. And run.
97,108,Got nowhere to go. Got no one to blame for lettin' myself get so low. It's right on the tip of my tongue. What's the word I'm thinkin' of. It's right in the middle of good and bad. So how can it be love. My brain is too soft. My money's no good. I tend to get lost just walkin' in the neighborhood. It's right on the tip of my tongue. What's the word I'm thinkin' of. Sometimes I feel like I'm drifting away. And that's all I can say. It's nothing I can't control. But in matters of the heart and soul. I must admit that I just don't know. I don't know what to say. I don't know what to do. I don't know what possessed me. To get together with a girl like you. You're right on the tip of my tongue. Are you the girl I'm thinkin' of. Right in the middle of hate and love. An iron fist in a velvet glove. Sometimes I feel like I'm drifting away. And that's all I can say. Gotta step back. And give each other room to grow. Listen to your heart. It'll tell you where to go. I must admit that I just don't know. Admit that I just don't know. Sometimes I feel like I'm drifting away. And that's all I can say. It's nothing I can't control. But in matters of the heart and soul. Sometimes I feel like I'm drifting away. And that's all I can say. Gotta step back. And give each other room to grow. Listen to your heart. It'll tell you where to go.,I must admit that I just don't know. Admit that I just don't know. Admit that I just don't know.,"

This transcript has been automatically generated and may not be 100% accurate."
