level_0,index,Lyrics
11,12,"He was standing at the rock, gathering the flock.
And getting there with no directions.
And underneath the arch it turned into a march.
And there he found the spark to set this fucker off.
Set it off, set it off now children, set it right.
Set it off, set it off now children, alright.
Set it off, set it off now children, set a fire.
Set it off, set it off now children.
Suddenly a shot ripped into his heart.
And he lay in need of some attention.
And there he played his card, going into shock.
The last thing that he said was, set this fucker off.
Set it off, set it off now children, set it right.
Set it off, set it off now children, alright.
Set it off, set it off now children, set a fire.
Set it off, set it off now children.
Alright, alright, alright.
Alright, alright, alright.
Jesus at the back door, everything is all right.
All we need is some direction.
Every time the wind blows.
Everything you don't know turns into a revelation.
And it all adds up inside your head.
Time is wasting.
Set it off, set it off now children, set it right.
Set it off, set it off now children, alright.
Set it off, set it off now children, set a fire.
Set it off, set it off now children.
Alright, alright, alright.
Alright, alright, alright.
"
12,13,"You know what to do, you know what I did.
Since you know everything, just clue me in.
I am such a wreck, I am such a mess.
I know what I know, why don't you fill in the rest?
I will bring it down, I will make it bad.
While you're feeling proud, why don't you help me?
Such a shame that I wouldn't know by now.
Your revelations.
Cut me in, I don't want to live without.
Your revelations, revelations.
You know what to say, you know what I said.
You know what I dream sleeping in my bed.
You hold all the keys, you know all the roads.
Why don't you guide me in if I'm such a lost soul?
I'll spin it 'round, I will make you ill.
Since I'm so broken down, why don't you fix me?
Such a shame that I wouldn't know by now.
(I wouldn't know by now).
Your revelations.
Cut me in, I don't want to live without.
(Don't want to live without).
Your revelations.
I am haunted when I am sleeping.
Try to give without receiving.
It's in the apple bite (It's in the apple bite).
It's in the days and nights (It's in the days and nights).
In the afterlife we'll meet.
Such a shame that I wouldn't know by now.
(I wouldn't know by now).
Your revelations.
Cut me in, I don't want to live without.
(Don't want to live without).
Your revelations.
Such a shame, such a shame.
That I wouldn't know by now.
Cut me in, I don't want to live without.
(Don't want to live without).
Your revelations, revelations.
"
13,14,"In my hour of need.
On a sea of grey.
On my knees I pray to you.
Help me find the dawn.
Of the dying day.
Won't you light my way.
Won't you light my way.
Won't you light my way.
Won't you light my way.
A bullet is a man.
From time to time he strays.
I compare my life to this.
To this I relate.
And I'm willing.
To listen to your answers.
And I'm not afraid.
To tell you I need you today.
Won't you light my way.
Won't you light my way.
Won't you light my way.
Won't you light my way.
So when I'm lost.
Or I'm tired and depraved.
Or when my high bullet mind.
Goes astray.
Won't you light my way.
Don't save it for another day.
Don't save it for another day.
Don't save it for another day.
Don't save it for another day.
Won't you light my way.
Won't you light my way.
Won't you light my way.
Won't you light my way.
"
14,15,"Anchor the night, open the sky.
Hide in the hours before sunrise.
Pray for me not, I won't lose sight.
Of where I belong and where you lie.
Well, Heaven's dead when you get sad.
I see wishes fly.
Out of time.
For the best time you've had.
Shipwreck the sun, well, I'm on your side.
An army of one, onward we will ride.
Whisper your songs, birds to the air.
We'll bury all of our burdens there.
Well, Heaven's dead when you get sad.
I see wishes fly.
Out of time.
For the best time you've had.
Heaven's dead when you get sad.
I see wishes fly.
Out of time.
For the best time you've had.
For the best time you had.
Best time you had.
Heaven's dead when you get sad.
Well, Heaven's dead when you get sad.
I see wishes fly.
Out of time.
For the best time you've had.
Heaven's dead when you get sad.
I see wishes fly.
Out of time.
For the best time you've had.
I'll take it all, arrows or guns.
Hundreds more to save you from one.
To save you from one.
To save you from one.
To save you from one.
Heaven's dead when you get sad.
"
15,16,"When I first came to this island.
That I called by my own name.
I was happy in this fortress.
In my exile I remained.
But the hours grew so empty.
And the ocean sent her waves.
In the figure of a woman.
She pulled me out to sea.
When you come down to take me home.
Send my soul away.
When you come 'round you'll make me whole.
Send my soul away.
On the altar of a sunrise.
Was a wedding in the waves.
And inside her shone a young light.
From her labor I was saved.
Though I've traveled long in darkness.
In her harvest I'm embraced.
When you come down to take me home.
Send my soul away.
When you come 'round you'll make me whole.
Send my soul away.
Now the spires and the gables.
Grow in orchards to the sky.
And the blessings on my table.
Multiply and divide.
When you come down to take me home.
Send my soul away.
When you come 'round you'll make me whole.
Send my soul away.
Yeah, when you come down to take me home.
When you come 'round you'll make me whole.
Yeah, when you come down to take me home.
Send my soul away.
Send my soul away.
Send my soul away.
Send my soul away.
"
16,17,"You can look a hurricane right in the eye.
1200 people dead or left to die.
Follow the leaders, were it an eye for an eye.
We'll all be blind, deaf or murdered, this I'm sure.
In this uncertain time.
So come and pull the sheet over my eyes.
So I can sleep tonight despite what I've seen today.
I find you guilty of the crime of sleeping at a time.
When you should have been wide awake.
Down on the road the world is floating by.
The poor and undefended left behind.
While you're somewhere trading lives for oil.
As if the whole world were blind, hey.
So come and pull the sheet over my eyes.
So I can sleep tonight despite what I've seen today.
I find you guilty of the crime of sleeping at a time.
When you should have been wide awake.
So come and pull the sheet over my eyes.
So I can sleep tonight despite what I've seen today.
I find you guilty of the crime of sleeping at a time.
When you should have been wide awake.
Wide awake.
Wide awake.
Wide awake.
Wide awake.
"
17,18,"Now one fell asleep in the street and he never woke up.
Now one died in pieces in his bed with the mouth full of gold.
And one threatened me long ago when I saw him.
Melt in the bright light of day.
And one laid to rest in a field under starlings and crows, hey.
I've been wandering sideways.
I've stared straight into the sun.
Still, I don't know why you're dying.
Long before your time has come.
Your time has come.
Now one took some bullets in the chest in a deal gone wrong.
One got a little too depressed and he went and jumped the gun.
One got shot right in the face and he somehow survived.
But he doesn't know my name or who I am.
And I'm not surprised, hey.
I've been wandering sideways.
I've stared straight into the sun.
Still, I don't know why you're dying.
Long before your time has come.
I've been wandering sideways.
And I've stared straight into the sun.
Still, I don't know why you're dying.
Long before your time has come.
Your time has come, yeah.
I've seen 50,000 names all engraved on a stone.
Most of them, met an early grave.
Years before I was born.
All of them left brothers and sisters and mothers behind.
And most of their family and friends alive, doing time.
I've been wandering sideways.
I've stared straight into the sun.
Still, I don't know why you're dying.
Long before your time has come.
I've been wandering sideways.
I've stared straight into the sun.
Still, I don't know why you're dying.
Long before your time has come.
Long before your time has come.
Long before your time has come.
And your time has come.
"
18,19,"Listen now and let me speak.
I will be the dog at your feet.
Come along when you call.
Be the little bird in your straw.
And sing you a song.
I'll be there to take the fall.
Though you tread upon me.
For no reason at all.
But just when you think you've left me blind.
Well, I'll need to.
Yeah, I will keep you in the corner of my eye.
The corner of my eye.
I will never leave your side.
Though you call me your number one zero.
You never mind, I'll be your king, I'll be your pawn.
I will build a pedestal and put you upon it, baby.
Just when you think you've left me blind.
I will be creeping right up behind.
Because maybe if I need to, yeah.
I will keep you in the corner of my eye.
Down on the street, over your night.
Out of your sleep, out of your sight.
If I need to, yeah, if I need to.
Out of your mouth in every word.
Down in your ego one thing is sure.
I will keep you, I will keep you.
Just when you think you've left me blind.
I will be creeping right up behind.
Because maybe if I need to, yeah.
I will keep you in the corner of my eye.
Corner of my eye.
I will be the bird in your straw.
But you won't get far.
I will keep you in the corner of my eye.
"
19,20,"I was on my way to the center of the sun.
When I lost my wings and I fell into a crowd.
And they carried me to a hole in the ground.
And they buried me, where no one could see.
And no one would be around.
I am a virus.
I live in silence.
I was on my way to a city in the clouds.
When I lost my mind and I had to settle down.
Then I had a dream of an island in the sea where the lepers die.
Where no one survives and no one can hear the cries.
I am a virus.
I live in silence.
Just like heathens thinking.
On our feet we'll believe in God.
With one step, two steps, three steps toward the graveyard.
On the high road to remembering.
It seems that we forgot.
I am a virus.
I live in silence.
"
20,21,"Settle down now and sit with me.
Let me tell you how this all came to be.
A yellow flower with your petals to the air.
And flying on paper wings that brought you here.
Summer rolls on in the lazy hours.
An neither dream way of hummingbirds and clouds.
Midnight swims in the cool black waves.
And you in my arms as it rolls away.
Little dandelion.
Let your heart keep time.
Now the clouds are gone.
All your tomorrows shine.
Oh, oh.
All your tomorrows shine.
Oh, oh.
All your tomorrows shine.
Born of restless night the moon as a pearl.
Playing games down inside your soft warm world.
Hear my voice, I know that you can.
You're the fire in my eyes, the sun as a man.
Seasons come along and seasons go.
And what they'll leave behind, I don't pretend to know.
I'm afraid that all I have missed.
Will loom very large when the darkness lifts.
Little dandelion.
Let your heart keep time.
Now the clouds are gone.
All your tomorrows shine.
Oh, oh.
All your tomorrows shine.
Oh, oh.
All your tomorrows.
I will ride by your side.
Wherever you go.
I won't run, I won't hide.
Just letting you know.
Just letting you know.
Little dandelion.
Let your heart keep time.
Now the clouds are gone.
All your tomorrows shine.
Oh, oh.
All your tomorrows shine.
Oh, oh.
All your tomorrows shine.
Oh, oh.
All your tomorrows shine.
"
21,22,"Well, it's late in the hour.
And a few more grains of sand will fall.
On the colorful flowers.
Grown upon the dust and moss.
Now I feel the worst is near.
I hold them close and count their years.
Pray, a ray of light appears.
To shine down on us here.
Break down in the shape of things to come.
But I'm moving on like a soldier.
And I say now when all is said and done.
It's not ours to break the shape of things to come.
There's a crack in the clouds.
But only for a moment now.
Like an eye looking out.
In the blue skies finds the roads, we will go down.
I wonder what they hold for us.
I hold my family to my breast.
I fear the worst and hope the best.
Will come to see us blessed.
Break down in the shape of things to come.
But I'm moving on like a soldier.
And I say now when all is said and done.
It's not ours to break the shape of things to come.
Given one more try, wonder what I'd change?
I won't deny, the thought is strange.
I've done my best and I will lay no blame myself.
Break down in the shape of things to come.
But I'm moving on like a soldier.
And I say now when all is said and done.
It's not ours to break the shape of things to come.
The shape of things to come.
The shape of things to come.
"
22,23,"Help me I don't know what I'm doing.
Help me before I fall to ruin.
And if I'm blind, I will lead you on.
Come follow me now before our time is gone.
And as you're laughing at this fool tonight.
Let me rid myself of any line that I might choose to trip you up.
And as I'm howling at the moonlight, don't you kid yourself.
I will be your luck and never be your curse, never be your curse.
Help me I don't know what I'm saying.
Sometimes this tongue can be betraying.
And if I'm wrong, is that such a crime?
And if you want, you can set my words to right.
And as you're laughing at this fool tonight.
Let me rid myself of any line that I might choose to trip you up.
And as I'm howling at the moonlight, don't you kid yourself.
I will be your luck and never be your curse, never be your curse.
And if your eyes forget to well.
And if your lies forget to tell.
And if our paths forget to cross.
It doesn't mean you're lost.
And as you're laughing at this fool tonight.
Let me rid myself of any line that I might choose to trip you up.
And as I'm howling at the moonlight, don't you kid yourself.
I will be your luck and never be your curse, never be your curse.
And as you're laughing at this fool tonight.
Let me rid myself of any line that I might choose to trip you up.
And as I'm howling at the moonlight, don't you kid yourself.
I will be your luck and never be your curse, never be your curse.
"
23,24,"Beauty is what eyes behold.
And you burn brighter than most.
I chased you through the midnight streets.
To be where I could speak freely.
I didn't care what tomorrow held.
I felt the world turning only for us.
Only bliss now for you and me.
Rise up let life's kiss send us reeling.
And unlike the times before.
From yesterday comes tomorrow.
When life comes alive, the past moves aside.
No regrets and no remorse.
Come on, come on, come on.
We have more than everything.
More than man or machine.
More than luck, more than fiction.
Higher than any religion.
And unlike the times before.
From yesterday comes tomorrow.
When life comes alive, the past moves aside.
No regrets and no remorse.
Come on, come on, come on.
We'll squeeze the blood out of life.
And say goodnight to the silver of old.
And even when wrong, we're right.
Far beyond the world of diamonds and gold.
I've come to realize.
Where happiness lies.
I want you to know, I know.
Come on, come on, come on.
And unlike the times before.
From yesterday comes tomorrow.
When life comes alive, the past moves aside.
No regrets and no remorse.
Come on, come on, come on.
"
24,25,"Well if you set your mind upon it, I know that you can.
You've got everything you wanted.
You've done everything you planned.
So let me make an offer.
I'm only trying to help.
You can make your load just a little lighter.
All you got to do is share the wealth.
Oh no don't you keep your.
Good luck to yourself.
Oh no don't you keep your.
Good luck to yourself.
Well I know you've got problems.
I see it in your eyes.
But if you want to live to see the morning.
Give it up to your brother.
Or you'll get a surprise.
Oh no don't you keep your.
Good luck to yourself.
Oh no don't you keep your.
Good luck to yourself.
Yeah, yeah, yeah, oh.
Yeah, yeah, yeah, oh.
Yeah, yeah, yeah, oh.
(Well, it's time to see.
You got to give all you're going to receive.
Hey, It's time to see.
You got to give if you want to believe.
You won't breathe).
Oh no don't you keep your.
Good luck to yourself.
Oh no don't you keep your.
Good luck to yourself.
Oh no don't you keep your.
Good luck to yourself.
Oh no don't you keep your.
Good luck to yourself.
"
25,26,"Thought I was different, it seems I'm just the same.
As again I put my hand over the flame.
I thought, I was smarter as I flew into the sun.
But it turned out the way it does with everyone.
Oh, oh.
I don't fly around your fire anymore.
I don't fly around your fire anymore.
Burned and fallen down so many times before.
I don't fly around your fire anymore.
I loved the heat, I loved the things that I forgot.
I loved the strings that tied me down and cut me off.
I was a king, I was a moth with painted wings made of cloth.
When did the flame burn so high and get so hot?
Oh, oh.
I don't fly around your fire anymore.
I don't fly around your fire anymore.
Burned and fallen down so many times before.
I don't fly around, fly around.
Fly around.
I don't fly around your fire anymore.
I don't fly around your fire anymore.
Burned and fallen down so many times before.
I won't fly around, fly around.
I won't fly around your fire anymore.
I don't fly around your fire anymore.
Burned and fallen down so many times before.
I don't fly around, fly around.
Oh, fly around, oh.
"
26,27,"In the here and now I wait.
Down among the young and the old.
With the moon and the ground I play.
With my children in my home.
This is for the daughters and sons.
Of forgotten ones, learning how to stand.
This is for the innocent unknowns.
Buried in the sand.
All running from the sound of a gun.
Running from the sound of a gun.
Until you're weary.
Running from the sound of a gun.
Running from the sound of a gun.
From the crack in the blackness I wake.
It's getting closer every night.
And my city, the playground, is a battleground.
Between the wrong and the right.
I could run free as a child, I was safe and wild.
Naked and unarmed.
Now I'm grown and safe in my home.
But some will never stop.
Running from the sound of a gun.
Running from the sound of a gun.
Until you're weary.
Running from the sound of a gun.
Running from the sound of a gun.
The open mouth of the city.
Swallowed up the town.
With that same old concrete.
That I still walk down.
And it seemingly put a shine.
On this place when I was young.
And maybe I just don't see it now.
Running from the sound of a gun.
Running from the sound of a gun.
Until I'm weary.
Running from the sound of a gun.
Running from the sound of a gun.
Running from the sound of a gun.
Running from the sound of a gun.
Running from the sound of a gun.
Running from, running from the sound of a gun.
"
27,28,"Just like a rescue of a stray dog in the rain.
I was hungry when you found me.
And you could tell by my tail and my rib cage.
What was once around me.
I've been chased by a rain cloud.
I was lost and nearly drowned.
And kicked around but now I'm found.
And I won't run away.
Bless your heart you gave me a home.
And a new start, and I will leave you never.
Sleep at your feet and stand guard.
At your front door, I will keep things together.
I've been chased by a rain cloud.
I was lost and nearly drowned.
And kicked around but now I'm found.
And I won't run away.
I killed myself, threw away my mental health.
But nobody was blinking an eye.
Backyard, basement, falling on the pavement.
Nothing left to say but goodbye.
Nothing left to say but goodbye.
It's true I ran away before but be sure.
I am no tail-chaser.
I know a good thing when it throws me a bone.
I'm your best friend forever.
I've been chased by a rain cloud.
I was lost and nearly drowned.
And kicked around but now I'm found.
And I won't run away.
"
28,29,"You give me a heart attack.
You look like the summertime.
You call me an artifact.
But I'll save that for another time.
I could be rich or poor.
I don't need anymore.
Keep your love inside the kitchen.
You can feed me anything.
Leave the feathers on the chicken.
Peel the leather from your skin.
I could be young or old.
Sweet or sad, hot or cold.
Man or animal, I don't care at all.
Find the antidote underneath the dose.
Man or animal, obedient, out of control.
I will love you more than money.
I will breathe you in the smoke.
I will drink you in my honey.
Sweet and golden down my throat.
When you're right, when you're wrong.
Head is near, eyes are gone.
You can drown my appetite.
I will sip your tears at night.
You can tie me to a chair.
Skin and bones, I don't care.
I could be rich or poor.
I don't need anymore.
Man or animal, I don't care at all.
Find the antidote underneath the dose.
Man or animal, obedient, out of control.
Hey!
Man or animal, I don't care at all.
Find the antidote underneath the dose.
Man or animal, obedient, out of control.
Out of control!
You give me a heart attack.
(You give me a heart attack).
I will give you more than that.
(I will give you more than that).
You give me a heart attack.
(You give me a heart attack).
I will give you more than that.
(I will give you more than that).
"
29,30,"Long days and nights you fought for truth.
Gotta hand it to you.
Uprise and paid for in blood.
Only to love.
We're gonna hang you up.
You've got balls but.
We got the whip, we got a better bomb, we got the whip.
We got the whip, we got a better bomb.
We got the whip, we got a better bomb, we got the whip.
We got the whip, we got a better bomb.
Heartache and strife is all you've known.
A slave since your youth.
And only one life to bargain with.
Admiration is due.
We're gonna string you up.
You've got balls but.
We got the whip, we got a better bomb, we got the whip.
We got the whip, we got a better bomb.
We got the whip, we got a better bomb, we got the whip.
We got the whip, we got a better bomb.
Yeah.
Fearlessness in the face of death.
Hand it with a smile.
Braving the fight until the end.
I know I will never be like you.
We got the whip, we got a better bomb, we got the whip.
We got the whip, we got a better bomb.
We got the whip, we got a better bomb, we got the whip.
We got the whip, we got a better bomb.
"
30,31,"Was a time early in life.
When I hated everything.
Born too young, top of my lungs.
Sitting on the bottom rung.
Took advice from the wrong shoulder.
Took a lot of everything.
But I've decided.
To make it alright with my.
Halo, I'm complete.
Halo with me underneath.
Halo, I'm reborn.
I can do no wrong.
Black and blue, suffering fools.
By the age of seventeen.
Low and high, just one more time.
Felt like an eternity.
Right or wrong, never too strong.
Friends became my enemies.
God forsaken.
But never too late with my.
Halo, I'm complete.
Halo with me underneath.
Halo, I'm reborn.
I can do no wrong.
You'll never change.
You'll never change.
Halo, I'm complete.
Halo with me underneath.
Halo, I'm reborn.
I can do no wrong.
"
31,32,"I've got a will this time, I don't care what you say.
I've got a feeling this will all go away.
It's in the wind this time, it's in the southern sky.
I can't walk on water yet won't even try.
Drown me slowly, enclose me.
Drown me slowly alright.
Drown me slowly, enfold me.
Drown me slowly.
All that I took with me was a bad taste in my mouth.
Went all around the world just couldn't spit it out.
Just like ground zero was the surface of the sun.
That's a sickness, I can't fix it, not all at once.
Drown me slowly, enclose me.
Drown me slowly alright.
Drown me slowly, enfold me.
Drown me slowly.
Don't let them take you down.
You'll leave a better world than you found.
Don't let them take you down.
You'll leave a better world than you found.
Don't let them take you down.
Don't let them take you down.
Don't let them take you down.
Don't let them take you down.
Drown me slowly, enclose me.
Drown me slowly alright.
Drown me slowly, enfold me.
Drown me slowly.
Drown me slowly.
"
32,33,"The original fire has died and gone but the riot inside moves on.
The original fire has died and gone but the riot inside moves on.
The original fire has died and gone but the riot inside moves on.
The original fire has died and gone but the riot inside moves on.
With a pen in one hand, taking a stand, drugged on kerosene.
84 and 5 would find us something to believe.
Right or wrong with dirty hands on wires.
Singing songs in discord choirs.
Screaming in Braille.
No temptress prize could ever yield anything so real.
The original fire has died and gone but the riot inside moves on.
The original fire has died and gone but the riot inside moves on.
Golden soldiers born much older than they'll ever live to be.
Diving into a sea of hands in a long forgotten city.
Here the rain falls forever after.
And the swinging vines hang dead in rafters.
Blood rush to your head induces laughter endlessly.
The original fire has died and gone but the riot inside moves on.
The original fire has died and long gone but the riot inside moves on.
Can't explain it, it was something to see.
Can't contain something ever real, ever real.
Ever real.
Can't explain it, it was something to see.
Can't contain something so ever real, ever real.
Ever real.
The original fire has died and gone but the riot inside moves on.
The original fire has died and gone but the riot inside moves on.
The original fire has died and gone but the riot inside moves on.
The original fire has died and gone but the riot inside moves on.
"
33,34,"Well, they don't hate you, you know they love you.
But they're going to come, kill you.
They don't mean you any harm.
It's just what they do.
Could be your mother.
Could be your father.
Or your best friend.
In the world.
But just like blood and rain.
Love and pain are one and the same (one and the same).
Just like blood and rain.
Love and pain are one and the same (one and the same).
You wear a mask with a target.
Keep you're enemies closer.
You fall in love from a great height.
Now the easy part's over.
Choose your battles.
Not your soldiers.
You know they'll show.
Their colors.
But just like blood and rain.
Love and pain are one and the same (one and the same).
Just like blood and rain.
Love and pain are one and the same (one and the same).
But just like blood and rain.
Love and pain are one and the same (one and the same).
Just like blood and rain.
Love and pain are one and the same (one and the same).
But just like blood and rain.
Love and pain are one and the same (one and the same).
Just like blood and rain.
Love and pain are one and the same (one and the same).
"
